2019-07-24 16:16:56,785 - INFO - ####################################
2019-07-24 16:16:56,785 - INFO - ############Loading Model###########
2019-07-24 16:16:56,785 - INFO - ####################################
2019-07-24 16:17:44,980 - INFO - Env 04, Goal (001.3, -07.8), Episode 00005, setp 021, Reward -10.1, Distance 008.3, Crashed
2019-07-24 16:17:45,204 - INFO - Env 15, Goal (-02.4, -00.1), Episode 00003, setp 109, Reward 1.5  , Distance 008.2, Crashed
2019-07-24 16:17:45,204 - INFO - Env 06, Goal (005.2, 001.5), Episode 00006, setp 002, Reward -15.0, Distance 009.2, Crashed
2019-07-24 16:17:45,605 - INFO - Env 06, Goal (001.2, 007.2), Episode 00007, setp 002, Reward -15.0, Distance 008.8, Crashed
2019-07-24 16:17:45,606 - INFO - Env 18, Goal (-05.7, 006.9), Episode 00004, setp 033, Reward -11.6, Distance 008.4, Crashed
2019-07-24 16:17:45,637 - INFO - Env 16, Goal (002.5, -02.6), Episode 00005, setp 110, Reward 6.9  , Distance 009.7, Crashed
2019-07-24 16:17:47,631 - INFO - Env 15, Goal (001.2, 000.3), Episode 00004, setp 019, Reward -13.8, Distance 009.6, Crashed
2019-07-24 16:17:47,721 - INFO - Env 00, Goal (-03.2, 000.0), Episode 00003, setp 134, Reward 37.4 , Distance 009.5, Reach Goal
2019-07-24 16:17:48,084 - INFO - Env 23, Goal (002.7, 002.1), Episode 00004, setp 106, Reward 37.5 , Distance 009.5, Reach Goal
2019-07-24 16:17:49,343 - INFO - Env 17, Goal (-03.0, 006.1), Episode 00004, setp 139, Reward 4.0  , Distance 009.3, Crashed
2019-07-24 16:17:49,752 - INFO - Env 20, Goal (-08.5, -00.5), Episode 00004, setp 104, Reward 38.3 , Distance 010.0, Reach Goal
2019-07-24 16:17:50,344 - INFO - Env 11, Goal (-00.5, -00.8), Episode 00005, setp 120, Reward 37.0 , Distance 009.4, Reach Goal
2019-07-24 16:17:50,638 - INFO - Env 21, Goal (002.4, 007.7), Episode 00005, setp 108, Reward 37.9 , Distance 009.7, Reach Goal
2019-07-24 16:17:53,162 - INFO - Env 01, Goal (000.1, 001.1), Episode 00005, setp 148, Reward 34.8 , Distance 008.4, Reach Goal
2019-07-24 16:17:53,465 - INFO - Env 01, Goal (-02.2, 002.6), Episode 00006, setp 002, Reward -15.0, Distance 008.4, Crashed
2019-07-24 16:17:53,465 - INFO - Env 06, Goal (006.8, -04.8), Episode 00008, setp 058, Reward -3.0 , Distance 008.1, Crashed
2019-07-24 16:17:54,123 - INFO - Env 07, Goal (004.2, -06.6), Episode 00004, setp 116, Reward 34.5 , Distance 008.4, Reach Goal
2019-07-24 16:17:55,081 - INFO - Env 12, Goal (003.9, 007.2), Episode 00004, setp 091, Reward 37.6 , Distance 009.6, Reach Goal
2019-07-24 16:17:55,851 - INFO - Env 05, Goal (003.1, -01.7), Episode 00004, setp 110, Reward 4.3  , Distance 009.9, Crashed
2019-07-24 16:17:56,340 - INFO - Env 22, Goal (-05.9, -00.7), Episode 00005, setp 090, Reward 34.3 , Distance 008.2, Reach Goal
2019-07-24 16:17:56,854 - INFO - Env 19, Goal (007.8, 004.2), Episode 00005, setp 089, Reward 34.9 , Distance 008.5, Reach Goal
2019-07-24 16:17:57,238 - INFO - Env 02, Goal (000.7, -05.7), Episode 00005, setp 106, Reward 34.1 , Distance 008.2, Reach Goal
2019-07-24 16:17:58,525 - INFO - Env 16, Goal (-07.8, 001.3), Episode 00006, setp 088, Reward 36.6 , Distance 009.2, Reach Goal
2019-07-24 16:17:59,002 - INFO - Env 16, Goal (-06.4, -02.4), Episode 00007, setp 002, Reward -15.0, Distance 009.4, Crashed
2019-07-24 16:17:59,019 - INFO - Env 00, Goal (004.3, -01.1), Episode 00004, setp 072, Reward -7.0 , Distance 009.3, Crashed
2019-07-24 16:17:59,424 - INFO - Env 10, Goal (-02.4, 002.5), Episode 00004, setp 152, Reward 21.0 , Distance 008.9, Time out
2019-07-24 16:18:00,161 - INFO - Env 04, Goal (-02.8, 005.4), Episode 00006, setp 098, Reward 34.5 , Distance 008.3, Reach Goal
2019-07-24 16:18:01,318 - INFO - Env 03, Goal (-05.3, -01.9), Episode 00005, setp 108, Reward 36.5 , Distance 009.1, Reach Goal
